mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
NO_CSP,34967.2,28367.69,2hour,1718936.9,3rd
NO_CSP,44063.64,28982.75,2hour,1812785.8,3rd
NO_CSP,50793.22,36232.15,2hour,2285867,3rd
CSP,36633.99,419925.25,2hour,793057.94,3rd
CSP,41887.79,466475.78,2hour,1033470.06,3rd
CSP,43057.38,416453.7,2hour,1026141.3,3rd
CSP_DnaseI,3238.07,57664.8,2hour,112456.55,3rd
CSP_DnaseI,3644.86,75773.04,2hour,148408.31,3rd
CSP_DnaseI,3892.98,61490.67,2hour,157539.9,3rd
E99,79912.13,1929030,2hour,1461697.5,3rd
E99,89446.41,2118764.5,2hour,1864979.4,3rd
E99,88481.95,1875716.5,2hour,1786373.8,3rd
E90,85257.88,1322045.6,2hour,1651843.4,3rd
E90,95039.1,1210140.9,2hour,1862985.9,3rd
E90,111324.65,1455957.4,2hour,1508992.1,3rd
E50,136795.89,708109.8,2hour,1451057.5,3rd
E50,191557.62,865695.4,2hour,1712482.2,3rd
E50,157569.73,658884.2,2hour,1628761.5,3rd
E10,229915.25,603192.56,2hour,1611852.5,3rd
E10,270950.75,554623.7,2hour,2037242.4,3rd
E10,273255.3,480602.56,2hour,1673732.9,3rd
E1,266791.66,268183.3,2hour,1575809.6,3rd
E1,321429.84,307223.34,2hour,1578451.6,3rd
E1,308638.6,226930.27,2hour,1370224.8,3rd
E99_CSP,47335.9,1588529.9,2hour,2871209,3rd
E99_CSP,57202.53,1556534.1,2hour,3016485,3rd
E99_CSP,54434.57,1547851.9,2hour,2865582,3rd
E90_CSP,54853.16,1966893,2hour,2387892.8,3rd
E90_CSP,67256.83,2406834.8,2hour,3731921.5,3rd
E90_CSP,73543.94,2340869.8,2hour,3445375.5,3rd
E50_CSP,125050.17,1867250.1,2hour,2990973,3rd
E50_CSP,165007.11,2621706.8,2hour,3477514.5,3rd
E50_CSP,158369.03,1322371,2hour,3629704.8,3rd
E10_CSP,186467.66,3096488.8,2hour,2618733.5,3rd
E10_CSP,185767.17,2648870.5,2hour,2357271.2,3rd
E10_CSP,207146.55,2841583,2hour,2872013.8,3rd
E1_CSP,211004.84,2640481,2hour,2108999.8,3rd
E1_CSP,244171.5,3787880.5,2hour,2908280,3rd
E1_CSP,244238.88,3798740.2,2hour,2640407.5,3rd
NO_CSP,52976.54,108312.34,4hour,3127722,3rd
NO_CSP,62041.28,102764.45,4hour,3212324.5,3rd
NO_CSP,63041.13,101243.12,4hour,3528518,3rd
CSP,83492.31,3324447.5,4hour,2597049.2,3rd
CSP,97357.51,2713527.2,4hour,3092708.2,3rd
CSP,89869.91,2252264.8,4hour,2718739.5,3rd
CSP_DnaseI,2595.64,125334.54,4hour,122901.6,3rd
CSP_DnaseI,3007.3,126893.98,4hour,130937.74,3rd
CSP_DnaseI,2992.4,117081.7,4hour,146300.77,3rd
E99,73636.46,466018.53,4hour,2880552.2,3rd
E99,76672.88,531292,4hour,2862485,3rd
E99,67985.46,368895.7,4hour,3418408,3rd
E90,72074.67,258597.36,4hour,2256899.2,3rd
E90,79132.02,215930.7,4hour,3094070,3rd
E90,85836.87,198850.4,4hour,2908429.5,3rd
E50,120423.93,94056.4,4hour,1936884.8,3rd
E50,149385.86,81841.49,4hour,2165495.5,3rd
E50,161069.72,126170.05,4hour,2547453,3rd
E10,174555.42,78613.86,4hour,2075035.9,3rd
E10,204084.66,96145.7,4hour,2051109.1,3rd
E10,197993.34,85449.99,4hour,2109645.2,3rd
E1,175915.27,90798.97,4hour,2023072.5,3rd
E1,230472.06,74917.2,4hour,1895693.6,3rd
E1,223432.52,86715.91,4hour,1825490.2,3rd
E99_CSP,119747.45,5502735.5,4hour,7746240.5,3rd
E99_CSP,120124.9,4894387.5,4hour,8144278.5,3rd
E99_CSP,120331.24,5572692,4hour,8653277,3rd
E90_CSP,110234.01,4806147.5,4hour,5319879,3rd
E90_CSP,143082.19,3283831,4hour,8197444.5,3rd
E90_CSP,152667.9,5840102.5,4hour,9980609,3rd
E50_CSP,157690.03,4106550.5,4hour,5644962.5,3rd
E50_CSP,190826.47,4724267.5,4hour,6308904,3rd
E50_CSP,166964.55,3450547.5,4hour,7089290,3rd
E10_CSP,216560.45,6378947,4hour,5027436.5,3rd
E10_CSP,197989.61,7753670.5,4hour,5719763,3rd
E10_CSP,215352.92,8479046,4hour,6137013,3rd
E1_CSP,264271.47,7599212,4hour,6172747,3rd
